ID	Действие	Старый URL	Итоговый URL	Файл в репозитории	Canonical URL	Индексируемость	Статус публикации
93	NEW		/soglasie-na-obrabotku-personalnyh-dannyh	site_mirror/soglasie-na-obrabotku-personalnyh-dannyh/index.html	https://raskrutov.kz/soglasie-na-obrabotku-personalnyh-dannyh	noindex, follow	Не опубликована
94	NEW		/publichnaya-oferta	site_mirror/publichnaya-oferta/index.html	https://raskrutov.kz/publichnaya-oferta	noindex, follow	Не опубликована
95	NEW		/web-studiya/almaty	site_mirror/web-studiya/almaty/index.html	https://raskrutov.kz/web-studiya/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
96	NEW		/web-studiya/dizayn/almaty	site_mirror/web-studiya/dizayn/almaty/index.html	https://raskrutov.kz/web-studiya/dizayn/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
97	NEW		/web-studiya/aeo-geo-prodvizhenie/almaty	site_mirror/web-studiya/aeo-geo-prodvizhenie/almaty/index.html	https://raskrutov.kz/web-studiya/aeo-geo-prodvizhenie/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
98	NEW		/web-studiya/kontekstnaya-reklama/almaty	site_mirror/web-studiya/kontekstnaya-reklama/almaty/index.html	https://raskrutov.kz/web-studiya/kontekstnaya-reklama/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
99	NEW		/web-studiya/lidogeneratsiya/almaty	site_mirror/web-studiya/lidogeneratsiya/almaty/index.html	https://raskrutov.kz/web-studiya/lidogeneratsiya/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
100	NEW		/web-studiya/podderzhka-saytov/almaty	site_mirror/web-studiya/podderzhka-saytov/almaty/index.html	https://raskrutov.kz/web-studiya/podderzhka-saytov/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
101	NEW		/web-studiya/digital-konsalting/almaty	site_mirror/web-studiya/digital-konsalting/almaty/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/almaty	index, follow после QA уникальности	Запланирована (региональное расширение)
102	NEW		/web-studiya/astana	site_mirror/web-studiya/astana/index.html	https://raskrutov.kz/web-studiya/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
103	NEW		/web-studiya/dizayn/astana	site_mirror/web-studiya/dizayn/astana/index.html	https://raskrutov.kz/web-studiya/dizayn/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
104	NEW		/web-studiya/aeo-geo-prodvizhenie/astana	site_mirror/web-studiya/aeo-geo-prodvizhenie/astana/index.html	https://raskrutov.kz/web-studiya/aeo-geo-prodvizhenie/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
105	NEW		/web-studiya/kontekstnaya-reklama/astana	site_mirror/web-studiya/kontekstnaya-reklama/astana/index.html	https://raskrutov.kz/web-studiya/kontekstnaya-reklama/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
106	NEW		/web-studiya/lidogeneratsiya/astana	site_mirror/web-studiya/lidogeneratsiya/astana/index.html	https://raskrutov.kz/web-studiya/lidogeneratsiya/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
107	NEW		/web-studiya/podderzhka-saytov/astana	site_mirror/web-studiya/podderzhka-saytov/astana/index.html	https://raskrutov.kz/web-studiya/podderzhka-saytov/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
108	NEW		/web-studiya/digital-konsalting/astana	site_mirror/web-studiya/digital-konsalting/astana/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/astana	index, follow после QA уникальности	Запланирована (региональное расширение)
109	NEW		/web-studiya/shymkent	site_mirror/web-studiya/shymkent/index.html	https://raskrutov.kz/web-studiya/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
110	NEW		/web-studiya/dizayn/shymkent	site_mirror/web-studiya/dizayn/shymkent/index.html	https://raskrutov.kz/web-studiya/dizayn/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
111	NEW		/web-studiya/aeo-geo-prodvizhenie/shymkent	site_mirror/web-studiya/aeo-geo-prodvizhenie/shymkent/index.html	https://raskrutov.kz/web-studiya/aeo-geo-prodvizhenie/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
112	NEW		/web-studiya/kontekstnaya-reklama/shymkent	site_mirror/web-studiya/kontekstnaya-reklama/shymkent/index.html	https://raskrutov.kz/web-studiya/kontekstnaya-reklama/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
113	NEW		/web-studiya/lidogeneratsiya/shymkent	site_mirror/web-studiya/lidogeneratsiya/shymkent/index.html	https://raskrutov.kz/web-studiya/lidogeneratsiya/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
114	NEW		/web-studiya/podderzhka-saytov/shymkent	site_mirror/web-studiya/podderzhka-saytov/shymkent/index.html	https://raskrutov.kz/web-studiya/podderzhka-saytov/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
115	NEW		/web-studiya/digital-konsalting/shymkent	site_mirror/web-studiya/digital-konsalting/shymkent/index.html	https://raskrutov.kz/web-studiya/digital-konsalting/shymkent	index, follow после QA уникальности	Запланирована (региональное расширение)
116	NEW		/web-studiya/aktau	site_mirror/web-studiya/aktau/index.html	https://raskrutov.kz/web-studiya/aktau	index, follow после QA уникальности	Запланирована (региональное расширение)
117	NEW		/sozdanie-saitov-v-aktau	site_mirror/sozdanie-saitov-v-aktau/index.html	https://raskrutov.kz/sozdanie-saitov-v-aktau	index, follow после QA уникальности	Запланирована (региональное расширение)
118	NEW		/web-studiya/dizayn/aktau	site_mirror/web-studiya/dizayn/aktau/index.html	https://raskrutov.kz/web-studiya/dizayn/aktau	index, follow после QA уникальности	Запланирована (региональное расширение)
